commit 	 pi_score	 L1  	 L2  	 L3  	 L4  	 peak_vram_gb	 status 	 description
1578e1b	     67.5	 85.0	 52.5	 68.3	 64.2	          6.1	 keep   	 baseline
04c79fe	     55.0	 90.0	 41.7	  6.7	 81.7	          6.3	 discard	 chat template + answer-only loss
f2998ba	     55.2	 85.0	 37.5	 31.7	 66.7	          6.3	 discard	 answer-only loss (no chat template)
ea438f3	     73.3	 85.0	 67.5	 80.0	 60.8	          6.1	 keep   	 doubled L2/L3/L4 data
5abc874	     64.0	 85.0	 60.0	 46.7	 64.2	          6.1	 discard	 L4 5000 + code fence
08c4b2a	     63.3	 85.0	 45.0	 68.3	 55.0	          6.1	 discard	 LR=4e-5
eaa76bb	     67.5	 85.0	 64.2	 65.0	 55.8	          6.1	 discard	 NUM_EPOCHS=5
7ba1a28	     76.2	 85.0	 63.3	 80.0	 76.7	          6.1	 keep   	 L4 Solution: separator
02b2fa6	     59.4	 85.0	 43.3	 20.0	 89.2	          6.0	 discard	 L2 keyword-enriched answers
1b8bf2a	     72.7	 85.0	 57.5	 60.0	 88.3	          6.0	 discard	 shift saturated L1 budget into L2
477da30	     73.1	 90.0	 49.2	 73.3	 80.0	          6.0	 discard	 align L4 exemplars with probe regexes
e8959a0	     62.5	 85.0	 57.5	 16.7	 90.8	          6.0	 discard	 constrain L4 outputs to code only
6cfab52	     79.4	 85.0	 93.3	 60.0	 79.2	          6.0	 keep   	 add probe-shaped L2 curriculum slice
1ad8457	     72.1	 85.0	 80.0	 41.7	 81.7	          6.0	 discard	 rebalance counts toward L3 recovery
f17e457	     86.0	 83.3	 84.2	 85.0	 91.7	          6.0	 keep   	 make L3 verdicts probe-aligned
533de24	     81.2	 90.0	 83.3	 65.0	 86.7	          6.0	 discard	 add L1 probe-shaped examples ratio 0.10
301b024	     75.4	 90.0	 66.7	 56.7	 88.3	          6.0	 discard	 add L1 probe-shaped examples ratio 0.20
3299b82	     82.3	 90.0	 84.2	 65.0	 90.0	          6.0	 discard	 add L1 probe-shaped examples ratio 0.30
a0a2ca0	     78.8	 85.0	 80.8	 73.3	 75.8	          6.0	 discard	 raise L1 count with probe-shaped ratio 0.20
bdcb261	     78.5	 83.3	 70.8	 76.7	 83.3	          6.0	 discard	 gen_l1 boil-temp coverage + value-first answers
6776c9a	     83.8	 90.0	 81.7	 86.7	 76.7	          6.0	 discard	 gen_l1 value-first answers only (no new branches)
6b4b82b	     72.5	 85.0	 80.8	 58.3	 65.8	          6.0	 discard	 per-level seed isolation in generate_all_data
75f3057	     82.7	 90.0	 79.2	 73.3	 88.3	          6.0	 discard	 gen_l1 boil-temp + value-first + per-level seeds
99ef749	     78.3	 85.0	 55.0	 93.3	 80.0	          6.0	 discard	 rebalance N_L1=4000 N_L3=6000
1f56769	     80.0	 90.0	 71.7	 75.0	 83.3	          6.0	 discard	 gen_l1 boil-temp + rebalance N_L1=4500 N_L3=5500
e4f56f3	     79.0	 85.0	 77.5	 68.3	 85.0	          6.0	 discard	 WEIGHT_DECAY=0.01 stronger regularization
80e23cf	     76.9	 85.0	 74.2	 65.0	 83.3	          6.0	 discard	 GRAD_ACCUM=8 effective batch 16
8c0e554	     75.0	 90.0	 64.2	 73.3	 72.5	          6.0	 discard	 gen_l1 boil-temp + value-first + GRAD_ACCUM=8
a7f467d	     75.8	 88.3	 72.5	 65.0	 77.5	          6.0	 discard	 gen_l1 boil-temp + value-first + N_L1=5500
5068da4	     84.2	 90.0	 81.7	 83.3	 81.7	          6.0	 discard	 value-first gen_l1 + N_L4=3500
aff653d	     75.8	 85.0	 62.5	 70.0	 85.8	          6.0	 discard	 value-first gen_l1 + N_L4=4000
419c49c	     81.2	 85.0	 83.3	 75.0	 81.7	          6.0	 discard	 value-first gen_l1 + N_L3=5500 + N_L4=3500
878899c	     83.3	 90.0	 84.2	 68.3	 90.8	          6.0	 discard	 value-first gen_l1 + N_L2=4500 + N_L4=3500
3c95da7	     75.4	 90.0	 63.3	 60.0	 88.3	          6.0	 discard	 value-first-soft gen_l1 + N_L4=3500
da22e68	     72.1	 90.0	 60.0	 56.7	 81.7	          6.0	 discard	 value-first-soft gen_l1 + N_L4=4000
a3f6169	     77.7	 87.5	 73.3	 66.7	 83.3	          6.0	 discard	 value-first-soft gen_l1 + N_L3=5500 + N_L4=3500
cb7952c	     79.2	 86.7	 84.2	 68.3	 77.5	          6.0	 discard	 value-first-soft gen_l1 + N_L2=4500 + N_L4=3500
f0e1117	     76.7	 85.0	 80.0	 70.0	 71.7	          6.0	 discard	 entity-value-first gen_l1 + N_L4=3500
89175a2	     75.2	 85.0	 68.3	 80.0	 67.5	          6.0	 discard	 entity-value-first gen_l1 + N_L4=4000
